iter	Passed	Remaining
0	64	64613
1	68	34173
2	72	24239
3	77	19403
4	83	16708
5	88	14651
6	92	13090
7	97	12094
8	101	11176
9	105	10449
10	109	9842
11	113	9357
12	117	8944
13	121	8575
14	125	8251
15	129	7975
16	133	7723
17	137	7507
18	141	7302
19	145	7131
20	149	6960
21	153	6817
22	157	6676
23	161	6556
24	165	6451
25	169	6348
26	173	6250
27	177	6170
28	182	6110
29	187	6067
30	191	5992
31	196	5929
32	199	5857
33	203	5788
34	207	5716
35	211	5664
36	216	5626
37	220	5576
38	224	5526
39	228	5475
40	232	5432
41	236	5387
42	239	5337
43	244	5303
44	248	5264
45	252	5240
46	256	5199
47	260	5168
48	264	5133
49	268	5101
50	272	5069
51	276	5037
52	280	5015
53	284	4989
54	288	4961
55	292	4936
56	296	4910
57	300	4886
58	304	4862
59	309	4844
60	313	4823
61	317	4804
62	321	4784
63	326	4771
64	330	4751
65	334	4732
66	338	4713
67	342	4699
68	347	4686
69	351	4672
70	356	4659
71	360	4648
72	364	4633
73	369	4618
74	373	4606
75	378	4599
76	382	4587
77	387	4579
78	392	4572
79	396	4560
80	400	4549
81	405	4539
82	410	4532
83	414	4523
84	418	4509
85	423	4499
86	427	4486
87	431	4475
88	436	4463
89	440	4454
90	444	4443
91	449	4435
92	453	4427
93	459	4425
94	463	4418
95	468	4412
96	473	4407
97	478	4407
98	483	4402
99	488	4395
100	494	4398
101	499	4397
102	505	4398
103	510	4397
104	515	4397
105	521	4395
106	526	4394
107	531	4391
108	536	4388
109	542	4387
110	547	4385
111	552	4383
112	558	4383
113	563	4382
114	569	4381
115	575	4385
116	580	4384
117	586	4384
118	592	4383
119	597	4380
120	602	4377
121	608	4378
122	613	4375
123	619	4373
124	624	4370
125	629	4368
126	635	4365
127	640	4364
128	645	4361
129	651	4357
130	656	4356
131	662	4355
132	667	4350
133	673	4350
134	678	4346
135	683	4344
136	689	4344
137	695	4342
138	700	4339
139	705	4336
140	711	4333
141	716	4330
142	721	4326
143	727	4326
144	733	4324
145	738	4322
146	744	4317
147	749	4313
148	754	4309
149	759	4305
150	764	4300
151	769	4293
152	774	4286
153	779	4280
154	783	4273
155	788	4268
156	793	4260
157	797	4252
158	802	4246
159	807	4241
160	812	4233
161	817	4229
162	822	4223
163	827	4216
164	832	4210
165	836	4205
166	841	4197
167	846	4192
168	851	4186
169	855	4178
170	860	4171
171	865	4164
172	869	4157
173	874	4150
174	879	4145
175	884	4139
176	888	4132
177	892	4123
178	897	4114
179	901	4106
180	905	4098
181	909	4088
182	914	4080
183	918	4073
184	922	4064
185	927	4058
186	931	4050
187	935	4042
188	940	4034
189	944	4026
190	948	4019
191	953	4010
192	957	4002
193	961	3993
194	965	3986
195	969	3977
196	973	3969
197	978	3962
198	983	3956
199	987	3950
200	991	3942
201	996	3934
202	1000	3927
203	1004	3920
204	1009	3914
205	1013	3907
206	1017	3899
207	1022	3892
208	1026	3885
209	1031	3881
210	1036	3874
211	1040	3867
212	1044	3859
213	1048	3852
214	1053	3845
215	1057	3838
216	1061	3830
217	1065	3823
218	1069	3815
219	1074	3808
220	1078	3801
221	1083	3795
222	1087	3789
223	1092	3783
224	1096	3778
225	1100	3770
226	1104	3762
227	1108	3754
228	1113	3748
229	1117	3740
230	1121	3733
231	1126	3727
232	1131	3723
233	1135	3717
234	1140	3711
235	1144	3704
236	1148	3698
237	1153	3692
238	1158	3687
239	1162	3681
240	1166	3674
241	1171	3669
242	1176	3663
243	1181	3659
244	1186	3657
245	1191	3652
246	1196	3648
247	1201	3643
248	1205	3637
249	1210	3632
250	1215	3628
251	1220	3622
252	1225	3617
253	1229	3611
254	1234	3606
255	1238	3600
256	1243	3595
257	1248	3590
258	1253	3585
259	1258	3580
260	1262	3575
261	1267	3569
262	1271	3563
263	1276	3558
264	1280	3552
265	1285	3547
266	1290	3542
267	1295	3537
268	1299	3532
269	1304	3526
270	1309	3522
271	1314	3516
272	1318	3512
273	1323	3507
274	1328	3502
275	1333	3497
276	1337	3491
277	1341	3485
278	1346	3479
279	1351	3474
280	1356	3469
281	1360	3464
282	1364	3457
283	1368	3450
284	1373	3445
285	1378	3442
286	1383	3436
287	1387	3431
288	1392	3426
289	1397	3421
290	1402	3416
291	1407	3411
292	1411	3406
293	1416	3401
294	1421	3396
295	1425	3391
296	1430	3385
297	1435	3381
298	1440	3377
299	1445	3372
300	1449	3367
301	1455	3363
302	1460	3359
303	1465	3355
304	1470	3350
305	1475	3345
306	1479	3339
307	1483	3334
308	1489	3329
309	1493	3325
310	1498	3319
311	1503	3314
312	1507	3309
313	1512	3304
314	1517	3299
315	1522	3295
316	1526	3289
317	1531	3284
318	1536	3279
319	1541	3275
320	1546	3270
321	1550	3264
322	1555	3260
323	1560	3255
324	1564	3250
325	1569	3245
326	1574	3240
327	1579	3235
328	1584	3230
329	1588	3226
330	1593	3221
331	1598	3215
332	1603	3211
333	1608	3206
334	1612	3201
335	1617	3196
336	1622	3191
337	1626	3186
338	1631	3180
339	1636	3176
340	1641	3171
341	1645	3166
342	1650	3160
343	1654	3155
344	1659	3150
345	1663	3144
346	1668	3140
347	1672	3134
348	1677	3128
349	1681	3122
350	1685	3117
351	1690	3111
352	1694	3105
353	1699	3100
354	1703	3095
355	1708	3090
356	1712	3084
357	1716	3078
358	1721	3072
359	1725	3066
360	1729	3061
361	1734	3056
362	1739	3052
363	1743	3046
364	1747	3040
365	1752	3035
366	1756	3029
367	1760	3023
368	1764	3017
369	1769	3012
370	1774	3007
371	1778	3002
372	1783	2997
373	1788	2993
374	1792	2988
375	1797	2983
376	1802	2977
377	1806	2973
378	1811	2968
